0			0101010101010101010101010101010101010101010101010101010101010101
1			0011001100110011001100110011001100110011001100110011001100110011
2			0000111100001111000011110000111100001111000011110000111100001111
3			0000000011111111000000001111111100000000111111110000000011111111
4			0000000000000000111111111111111100000000000000001111111111111111
5			0000000000000000000000000000000011111111111111111111111111111111
6	<	0	0101010101010101010101010101010100000000000000000000000000000000	
7	^	3	0101010110101010010101011010101000000000111111110000000011111111	
8	<	3	0000000001010101000000000101010100000000000000000000000000000000	
9	^	5	0000000001010101000000000101010111111111111111111111111111111111	
10	^	0	0101010100000000010101010000000010101010101010101010101010101010	
11	^	4	0101010100000000101010101111111110101010101010100101010101010101	
12	^	1	0110011000110011100110011100110010011001100110010110011001100110	
13	^	10	0011001100110011110011001100110000110011001100111100110011001100	
14	&	11	0001000100000000100010001100110000100010001000100100010001000100	
15	^	7	0100010010101010110111010110011000100010110111010100010010111011	
16	^	2	0100101110100101110100100110100100101101110100100100101110110100	
17	&	12	0100001000100001100100000100100000001001100100000100001000100100	
18	^	15	0000011010001011010011010010111000101011010011010000011010011111	
19	>	14	0000011010001011010001010010001000001001010011010000001010011011	
20	<	16	0100100100100100100100100100100100100100100100100100100100100100	
