0			01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101
1			00110011001100110011001100110011001100110011001100110011001100110011001100110011001100110011001100110011001100110011001100110011
2			00001111000011110000111100001111000011110000111100001111000011110000111100001111000011110000111100001111000011110000111100001111
3			00000000111111110000000011111111000000001111111100000000111111110000000011111111000000001111111100000000111111110000000011111111
4			00000000000000001111111111111111000000000000000011111111111111110000000000000000111111111111111100000000000000001111111111111111
5			00000000000000000000000000000000111111111111111111111111111111110000000000000000000000000000000011111111111111111111111111111111
6			00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111
7	^	2	00001111000011110000111100001111000011110000111100001111000011111111000011110000111100001111000011110000111100001111000011110000	
8	^	1	00111100001111000011110000111100001111000011110000111100001111001100001111000011110000111100001111000011110000111100001111000011	
9	^	6	00111100001111000011110000111100001111000011110000111100001111000011110000111100001111000011110000111100001111000011110000111100	
10	>	7	00110000001100000011000000110000001100000011000000110000001100000000110000001100000011000000110000001100000011000000110000001100	
11	^	0	01100101011001010110010101100101011001010110010101100101011001010101100101011001010110010101100101011001010110010101100101011001	
12	^	8	01011001010110010101100101011001010110010101100101011001010110011001101010011010100110101001101010011010100110101001101010011010	
13	>	10	01001001010010010100100101001001010010010100100101001001010010011001001010010010100100101001001010010010100100101001001010010010	
14	^	3	01001001101101100100100110110110010010011011011001001001101101101001001001101101100100100110110110010010011011011001001001101101	
15	^	4	01001001101101101011011001001001010010011011011010110110010010011001001001101101011011011001001010010010011011010110110110010010	
16	^	11	00101100110100111101001100101100001011001101001111010011001011001100101100110100001101001100101111001011001101000011010011001011	
17	^	15	01100101011001010110010101100101011001010110010101100101011001010101100101011001010110010101100101011001010110010101100101011001	11
18	^	14	00101100110100110010110011010011001011001101001100101100110100111100101100110100110010110011010011001011001101001100101100110100	
19	&	13	00001000010000010000100001000001000010000100000100001000010000011000001000010000100000100001000010000010000100001000001000010000	
20	<	18	00100100100100100010010010010010001001001001001000100100100100100100100100100100010010010010010001001001001001000100100100100100	
21	<	15	01001001001001001001001001001001010010010010010010010010010010011001001001001001001001001001001010010010010010010010010010010010	
22	<	20	00100100100100100010010010010010001001001001001000100100100100100100100100100100010010010010010001001001001001000100100100100100	20
23	^	5	00100100100100100010010010010010110110110110110111011011011011010100100100100100010010010010010010110110110110111011011011011011	
24	^	4	00100100100100101101101101101101110110110110110100100100100100100100100100100100101101101101101110110110110110110100100100100100	
25	>	21	00100100100100100100100100100100100100100100100100100100100100100100100100100100100100100100100100100100100100100100100100100100	
9255.239651823
